police_station,folder,hobli_count,village_count,ward_count
Marihal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Marihal_PS,2,33,2
Belagavi Camp PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Belagavi_Camp_PS,1,3,12
Khadebazar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Khadebazar_PS,1,1,15
Thilakwadi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thilakwadi_PS,1,9,16
Udyambag PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Udyambag_PS,1,6,7
Kangarali KH APMC Yard PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kangarali_KH_APMC_Yard_PS,2,4,10
Malamaruthi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Malamaruthi_PS,3,10,20
Belagavi Market PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Belagavi_Market_PS,1,3,20
Shahapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shahapura_PS,1,12,18
Chikkaballapura Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkaballapura_Town_PS,2,20,31
Chikkaballapura Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkaballapura_Rural_PS,5,174,16
Nandi Girighama PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nandi_Girighama_PS,4,90,2
Gowribidanur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gowribidanur_Town_PS,1,19,31
Gowribidanur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gowribidanur_Rural_PS,7,163,9
ManchenahalliPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\ManchenahalliPS,5,150,0
GudibandePS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\GudibandePS,5,221,11
Bagepalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bagepalli_PS,4,138,23
Pathapalya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Pathapalya_PS,10,93,0
Chelur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chelur_PS,5,74,0
Chinthamani TownPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chinthamani_TownPS,5,263,12
KencharlahalliPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\KencharlahalliPS,7,171,0
Batalahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Batalahalli_PS,6,134,0
Shidlagatta Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shidlagatta_Town_PS,1,11,31
Shidlagatta Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shidlagatta_Rural_PS,5,244,6
Dibburahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Dibburahalli_PS,11,187,0
Bangarpet PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bangarpet_PS,5,168,27
Bethamangala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bethamangala_PS,5,131,0
Kamasamudram PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kamasamudram_PS,4,103,1
Champion Reefs PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Champion_Reefs_PS,2,9,4
