timestamp,district,file_type,status,filename,output_folder,source_url,details
2026-07-23T17:07:15,Dakshina Kannada,KML File,SUCCESS,24 Dakshina Kannada.zip,E:\KSRSAC files\Village Boundaries\Dakshina Kannada\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/24_Dakshina%20Kannada.zip,Extracted 1 file(s)
2026-07-23T17:07:19,Davanagere,PDF File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Village Boundaries\Davanagere\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/14_Davanagere.zip,Extracted 1 file(s)
2026-07-23T17:07:24,Davanagere,Shape File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Village Boundaries\Davanagere\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/14_Davanagere.zip,Extracted 7 file(s)
2026-07-23T17:07:29,Davanagere,KML File,SUCCESS,14 Davanagere.zip,E:\KSRSAC files\Village Boundaries\Davanagere\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/14_Davanagere.zip,Extracted 1 file(s)
2026-07-23T17:07:34,Dharwad,PDF File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Village Boundaries\Dharwad\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/09_Dharwad.zip,Extracted 1 file(s)
2026-07-23T17:07:40,Dharwad,Shape File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Village Boundaries\Dharwad\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/09_Dharwad.zip,Extracted 7 file(s)
2026-07-23T17:07:45,Dharwad,KML File,SUCCESS,09 Dharwad.zip,E:\KSRSAC files\Village Boundaries\Dharwad\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/09_Dharwad.zip,Extracted 1 file(s)
2026-07-23T17:07:50,Gadag,PDF File,SUCCESS,08 Gadag.zip,E:\KSRSAC files\Village Boundaries\Gadag\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/08_Gadag.zip,Extracted 1 file(s)
2026-07-23T17:07:55,Gadag,Shape File,SUCCESS,08 Gadag.zip,E:\KSRSAC files\Village Boundaries\Gadag\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/08_Gadag.zip,Extracted 7 file(s)
2026-07-23T17:08:00,Gadag,KML File,SUCCESS,08 Gadag.zip,E:\KSRSAC files\Village Boundaries\Gadag\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/08_Gadag.zip,Extracted 1 file(s)
2026-07-23T17:08:05,Hassan,PDF File,SUCCESS,23 Hassan.zip,E:\KSRSAC files\Village Boundaries\Hassan\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/23_Hassan.zip,Extracted 1 file(s)
2026-07-23T17:08:10,Hassan,Shape File,SUCCESS,23 Hassan.zip,E:\KSRSAC files\Village Boundaries\Hassan\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/23_Hassan.zip,Extracted 7 file(s)
2026-07-23T17:08:16,Hassan,KML File,SUCCESS,23 Hassan.zip,E:\KSRSAC files\Village Boundaries\Hassan\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/23_Hassan.zip,Extracted 1 file(s)
2026-07-23T17:08:21,Haveri,PDF File,SUCCESS,11 Haveri.zip,E:\KSRSAC files\Village Boundaries\Haveri\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/11_Haveri.zip,Extracted 1 file(s)
2026-07-23T17:08:27,Haveri,Shape File,SUCCESS,11 Haveri.zip,E:\KSRSAC files\Village Boundaries\Haveri\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/11_Haveri.zip,Extracted 7 file(s)
2026-07-23T17:08:31,Haveri,KML File,SUCCESS,11 Haveri.zip,E:\KSRSAC files\Village Boundaries\Haveri\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/11_Haveri.zip,Extracted 1 file(s)
2026-07-23T17:08:36,Kalaburgi,PDF File,SUCCESS,04 Kalaburgi.zip,E:\KSRSAC files\Village Boundaries\Kalaburgi\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/04_Kalaburgi.zip,Extracted 1 file(s)
2026-07-23T17:08:41,Kalaburgi,Shape File,SUCCESS,04 Kalaburgi.zip,E:\KSRSAC files\Village Boundaries\Kalaburgi\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/04_Kalaburgi.zip,Extracted 7 file(s)
2026-07-23T17:08:46,Kalaburgi,KML File,SUCCESS,04 Kalaburgi.zip,E:\KSRSAC files\Village Boundaries\Kalaburgi\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/04_Kalaburgi.zip,Extracted 1 file(s)
2026-07-23T17:08:51,Kodagu,PDF File,SUCCESS,25 Kodagu.zip,E:\KSRSAC files\Village Boundaries\Kodagu\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/25_Kodagu.zip,Extracted 1 file(s)
2026-07-23T17:08:56,Kodagu,Shape File,SUCCESS,25 Kodagu.zip,E:\KSRSAC files\Village Boundaries\Kodagu\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/25_Kodagu.zip,Extracted 7 file(s)
2026-07-23T17:09:01,Kodagu,KML File,SUCCESS,25 Kodagu.zip,E:\KSRSAC files\Village Boundaries\Kodagu\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/25_Kodagu.zip,Extracted 1 file(s)
2026-07-23T17:09:06,Kolara,PDF File,SUCCESS,19 Kolara.zip,E:\KSRSAC files\Village Boundaries\Kolara\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/19_Kolara.zip,Extracted 1 file(s)
